driving_experience,type_of_vehicle,lanes_or_medians,road_allignment,types_of_junction,road_surface_conditions,light_conditions,weather_conditions,number_of_vehicles_involved,vehicle_movement,pedestrian_movement,accident_severity
Above 10yr,Lorry (41?100Q),other,Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Raining,1.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Pick up upto 10Q,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,4.0,Going straight,Not a Pedestrian,Slight Injury
,Lorry (11?40Q),other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,4.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,4.0,Moving Backward,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Dry,Daylight,Normal,4.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Pick up upto 10Q,Two-way (divided with broken lines road marking),Escarpments,No junction,Wet or damp,Daylight,Other,2.0,Other,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Undivided Two way,Tangent road with mountainous terrain and,No junction,Wet or damp,Daylight,Other,2.0,Other,Not a Pedestrian,Slight Injury
2-5yr,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Wet or damp,Daylight,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Wet or damp,Daylight,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
,Public (13?45 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Wet or damp,Darkness - lights lit,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Pick up upto 10Q,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Wet or damp,Darkness - lights lit,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Stationwagen,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Other,Not a Pedestrian,Slight Injury
Below 1yr,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Pick up upto 10Q,Double carriageway (median),Tangent road with mild grade and flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Normal,2.0,Getting off,Not a Pedestrian,Slight Injury
5-10yr,Public (13?45 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
,Public (12 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Pick up upto 10Q,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Wet or damp,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
5-10yr,Lorry (41?100Q),Double carriageway (median),Tangent road with flat terrain,Other,Wet or damp,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
5-10yr,Pick up upto 10Q,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Snow,Daylight,Snow,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Long lorry,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Snow,Daylight,Snow,2.0,Moving Backward,Not a Pedestrian,Slight Injury
Above 10yr,,Unknown,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,2.0,Other,Not a Pedestrian,Slight Injury
No Licence,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Wet or damp,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Public (13?45 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Wet or damp,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Special vehicle,One way,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Cloudy,1.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Undivided Two way,Tangent road with mountainous terrain and,No junction,Dry,Darkness - lights lit,Normal,2.0,,Not a Pedestrian,Slight Injury
5-10yr,Public (> 45 seats),other,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Two-way (divided with broken lines road marking),Escarpments,No junction,Dry,Darkness - lights lit,Normal,2.0,,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Public (> 45 seats),Double carriageway (median),Steep grade downward with mountainous terrain,No junction,Dry,Darkness - lights lit,Normal,1.0,,Crossing from driver's nearside,Serious Injury
1-2yr,Lorry (11?40Q),Undivided Two way,Tangent road with mild grade and flat terrain,No junction,Wet or damp,Darkness - lights lit,Normal,1.0,Going straight,Not a Pedestrian,Serious Injury
Below 1yr,Pick up upto 10Q,Undivided Two way,Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Normal,3.0,Going straight,Not a Pedestrian,Serious Injury
1-2yr,Lorry (11?40Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Normal,3.0,Going straight,Not a Pedestrian,Serious Injury
5-10yr,Pick up upto 10Q,Double carriageway (median),Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Normal,3.0,Going straight,Not a Pedestrian,Serious Injury
Above 10yr,Special vehicle,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Snow,Daylight,Fog or mist,1.0,Going straight,Not a Pedestrian,Serious Injury
5-10yr,Lorry (11?40Q),other,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Other,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Other,2.0,Going straight,Unknown or other,Slight Injury
2-5yr,,Undivided Two way,Tangent road with flat terrain,Other,Dry,Daylight,Normal,1.0,Other,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,Crossing,Wet or damp,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Other,other,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Public (13?45 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Wet or damp,Daylight,Raining,1.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Wet or damp,Daylight,Raining,1.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Taxi,Double carriageway (median),Tangent road with flat terrain,Crossing,Wet or damp,Daylight,Raining,1.0,Getting off,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
Above 10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
2-5yr,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Crossing,Dry,Daylight,Normal,2.0,Turnover,Not a Pedestrian,Slight Injury
2-5yr,Stationwagen,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Moving Backward,Crossing from offside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
2-5yr,Stationwagen,other,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Other,2.0,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
1-2yr,Lorry (41?100Q),,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Other,2.0,Moving Backward,Unknown or other,Slight Injury
5-10yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,No junction,Snow,Daylight,Snow,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Other,other,,No junction,Snow,Daylight,Snow,2.0,,Not a Pedestrian,Slight Injury
1-2yr,Automobile,other,Tangent road with mild grade and flat terrain,No junction,Snow,Daylight,Snow,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,,other,Tangent road with flat terrain,No junction,Snow,Daylight,Snow,2.0,,Unknown or other,Slight Injury
No Licence,Taxi,,,No junction,Snow,Daylight,Snow,2.0,Going straight,Unknown or other,Slight Injury
5-10yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,No junction,Snow,Daylight,Snow,2.0,,Unknown or other,Slight Injury
1-2yr,Other,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Serious Injury
2-5yr,Automobile,other,Tangent road with flat terrain,No junction,Dry,Daylight,Unknown,1.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Public (> 45 seats),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
,Stationwagen,other,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),Double carriageway (median),Escarpments,Crossing,Dry,Daylight,Normal,2.0,Other,Not a Pedestrian,Slight Injury
Above 10yr,Other,other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Other,Not a Pedestrian,Slight Injury
Above 10yr,Public (13?45 seats),Undivided Two way,Escarpments,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
,Other,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Other,Undivided Two way,Tangent road with flat terrain,O Shape,Dry,Daylight,Normal,2.0,Getting off,Not a Pedestrian,Slight Injury
,Ridden horse,other,Tangent road with flat terrain,O Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),other,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (41?100Q),One way,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Pick up upto 10Q,One way,Tangent road with flat terrain,Crossing,Dry,Daylight,Other,2.0,Going straight,Not a Pedestrian,Slight Injury
,Lorry (11?40Q),Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Other,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Getting off,Not a Pedestrian,Serious Injury
Above 10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
Below 1yr,Lorry (11?40Q),other,,Y Shape,Wet or damp,Darkness - lights lit,Other,1.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Motorcycle,other,Tangent road with rolling terrain,Y Shape,Wet or damp,Darkness - lights lit,Other,1.0,Other,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),Double carriageway (median),Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,3.0,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Serious Injury
5-10yr,Stationwagen,Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,3.0,Going straight,Not a Pedestrian,Serious Injury
,Automobile,other,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,3.0,Going straight,Not a Pedestrian,Serious Injury
Below 1yr,Other,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Serious Injury
Above 10yr,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
Below 1yr,Taxi,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Reversing,Not a Pedestrian,Serious Injury
5-10yr,Automobile,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Other,Not a Pedestrian,Slight Injury
5-10yr,Long lorry,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
,Long lorry,Undivided Two way,Gentle horizontal curve,No junction,Dry,Daylight,Normal,2.0,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
1-2yr,Lorry (41?100Q),Undivided Two way,Gentle horizontal curve,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (11?40Q),Undivided Two way,Gentle horizontal curve,No junction,Dry,Darkness - lights lit,Unknown,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,other,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Unknown,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Taxi,other,Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Other,other,Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,other,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
No Licence,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,2.0,Moving Backward,Not a Pedestrian,Slight Injury
Below 1yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Unknown,2.0,Moving Backward,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Two-way (divided with broken lines road marking),Escarpments,Y Shape,Dry,Daylight,Unknown,2.0,Turnover,Not a Pedestrian,Slight Injury
5-10yr,Public (> 45 seats),Undivided Two way,Tangent road with mountainous terrain and,No junction,Dry,Daylight,Normal,1.0,Other,Not a Pedestrian,Slight Injury
5-10yr,Lorry (11?40Q),Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,3.0,Other,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Stationwagen,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Dry,Daylight,Normal,2.0,Other,Not a Pedestrian,Slight Injury
5-10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Other,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Pick up upto 10Q,Double carriageway (median),Tangent road with mild grade and flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Reversing,Not a Pedestrian,Slight Injury
Below 1yr,Motorcycle,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Other,Not a Pedestrian,Slight Injury
1-2yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - no lighting,Normal,2.0,Turnover,Not a Pedestrian,Slight Injury
5-10yr,Pick up upto 10Q,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Darkness - no lighting,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Motorcycle,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Stationwagen,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,2.0,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
2-5yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Taxi,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Unknown,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Long lorry,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Public (12 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (11?40Q),One way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,3.0,Other,Not a Pedestrian,Slight Injury
5-10yr,Pick up upto 10Q,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (41?100Q),Undivided Two way,Tangent road with mountainous terrain and,Crossing,Wet or damp,Daylight,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Other,other,Tangent road with flat terrain,Crossing,Wet or damp,Daylight,Raining,2.0,Moving Backward,Not a Pedestrian,Slight Injury
Below 1yr,Automobile,Two-way (divided with broken lines road marking),Escarpments,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Long lorry,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
5-10yr,Lorry (11?40Q),Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Dry,Daylight,Normal,2.0,Other,Not a Pedestrian,Slight Injury
2-5yr,Long lorry,Double carriageway (median),Steep grade downward with mountainous terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Automobile,Undivided Two way,Tangent road with mild grade and flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Reversing,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
2-5yr,Taxi,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Taxi,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,1.0,Other,Not a Pedestrian,Slight Injury
Above 10yr,Long lorry,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Other,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (11?40Q),Undivided Two way,Tangent road with mountainous terrain and,Crossing,Dry,Daylight,Normal,2.0,Other,Not a Pedestrian,Slight Injury
5-10yr,Lorry (11?40Q),other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,1.0,Stopping,Not a Pedestrian,Serious Injury
1-2yr,Long lorry,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Dry,Daylight,Normal,2.0,Other,Not a Pedestrian,Slight Injury
5-10yr,Turbo,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Other,Not a Pedestrian,Slight Injury
5-10yr,Long lorry,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Other,Not a Pedestrian,Slight Injury
1-2yr,Long lorry,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Public (13?45 seats),Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Automobile,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
5-10yr,Pick up upto 10Q,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
Above 10yr,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Stationwagen,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Long lorry,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
No Licence,Public (13?45 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Reversing,Not a Pedestrian,Slight Injury
1-2yr,Public (13?45 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Lorry (11?40Q),Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Other,Not a Pedestrian,Slight Injury
Below 1yr,Lorry (11?40Q),Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,,Not a Pedestrian,Slight Injury
1-2yr,Pick up upto 10Q,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Getting off,Not a Pedestrian,Serious Injury
2-5yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
5-10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Long lorry,,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Long lorry,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,3.0,Turnover,Unknown or other,Slight Injury
5-10yr,Automobile,other,,No junction,Dry,Daylight,Normal,3.0,Entering a junction,Not a Pedestrian,Slight Injury
,Stationwagen,other,Tangent road with mild grade and flat terrain,No junction,Dry,Darkness - lights lit,Normal,1.0,Entering a junction,Not a Pedestrian,Slight Injury
5-10yr,,other,Tangent road with flat terrain,Other,Dry,Daylight,Normal,3.0,Entering a junction,Not a Pedestrian,Slight Injury
Below 1yr,Other,,,Other,Dry,Daylight,Normal,3.0,Entering a junction,Not a Pedestrian,Slight Injury
2-5yr,Special vehicle,Undivided Two way,Tangent road with flat terrain,Other,Dry,Daylight,Normal,3.0,Other,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Entering a junction,Not a Pedestrian,Slight Injury
2-5yr,Pick up upto 10Q,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Turnover,Not a Pedestrian,Slight Injury
2-5yr,Lorry (11?40Q),Undivided Two way,Tangent road with flat terrain,Unknown,Dry,Darkness - lights lit,Normal,2.0,Entering a junction,Crossing from driver's nearside,Slight Injury
5-10yr,Lorry (41?100Q),other,Tangent road with flat terrain,Unknown,Dry,Darkness - lights lit,Normal,2.0,Entering a junction,Not a Pedestrian,Slight Injury
